account,property_name,amount
Total for Other Income,180 Charleston Way,150000
Net Other Income,180 Charleston Way,150000
Net Income,180 Charleston Way,47912.17999999999
Materials,1803 5th Ave.S.,1450.57
Total for Expenses,1803 5th Ave.S.,1450.57
Net Operating Income,1803 5th Ave.S.,-1450.57
Net Income,1803 5th Ave.S.,-1450.57
Dumpsters,1805 Tin Valley Cir,2601.89
Labor,1805 Tin Valley Cir,7041.5
Materials,1805 Tin Valley Cir,41187.66
Office Supplies,1805 Tin Valley Cir,1517.38
Property Purchase,1805 Tin Valley Cir,25112
Third Party Vendors,1805 Tin Valley Cir,31402.25
Total for Expenses,1805 Tin Valley Cir,108862.68
Net Operating Income,1805 Tin Valley Cir,-108862.68
Net Income,1805 Tin Valley Cir,-108862.68
Property Purchase,1809 Tin Valley Cir,101204.5
Total for Expenses,1809 Tin Valley Cir,101204.5
Net Operating Income,1809 Tin Valley Cir,-101204.5
Net Income,1809 Tin Valley Cir,-101204.5
Sale of property,1824 Otis Rd,210479.27
Total for Income,1824 Otis Rd,210479.27
Gross Profit,1824 Otis Rd,210479.27
Cleaning services,1824 Otis Rd,165
Dumpsters,1824 Otis Rd,1012.75
Earnest money,1824 Otis Rd,500
Labor,1824 Otis Rd,26524.4
Materials,1824 Otis Rd,18864.25
Property Purchase,1824 Otis Rd,129125.95
Third Party Vendors,1824 Otis Rd,15636.79
Utilities,1824 Otis Rd,1575.89
Total for Expenses,1824 Otis Rd,193405.03000000003
Net Operating Income,1824 Otis Rd,17074.23999999996
Net Income,1824 Otis Rd,17074.23999999996
Sale of property,1831 Otis Cir.,202122.37
Total for Income,1831 Otis Cir.,202122.37
Gross Profit,1831 Otis Cir.,202122.37
Dumpsters,1831 Otis Cir.,547.14
Labor,1831 Otis Cir.,12450
Materials,1831 Otis Cir.,12686.42
Photography,1831 Otis Cir.,50
Property Purchase,1831 Otis Cir.,139245.1
Third Party Vendors,1831 Otis Cir.,9282
Total for Expenses,1831 Otis Cir.,174260.66
Net Operating Income,1831 Otis Cir.,27861.709999999992
Net Income,1831 Otis Cir.,27861.709999999992
Sale of property,1831 Satterwhite St.,120980.54
Total for Income,1831 Satterwhite St.,120980.54
Gross Profit,1831 Satterwhite St.,120980.54
Dumpsters,1831 Satterwhite St.,1793.54
Interest Payment,1831 Satterwhite St.,2313
Labor,1831 Satterwhite St.,27613
Materials,1831 Satterwhite St.,15953.66
Property Insurance,1831 Satterwhite St.,842.5
Third Party Vendors,1831 Satterwhite St.,6934.95
Total for Expenses,1831 Satterwhite St.,55450.649999999994
Net Operating Income,1831 Satterwhite St.,65529.89
Net Income,1831 Satterwhite St.,65529.89
Earnest money,1861 Cedar Crest Rd,1000
Total for Expenses,1861 Cedar Crest Rd,1000
Net Operating Income,1861 Cedar Crest Rd,-1000
Net Income,1861 Cedar Crest Rd,-1000
Dumpsters,1869 Lane Dr,594
Materials,1869 Lane Dr,3875.6
Total for Expenses,1869 Lane Dr,4469.6
Net Operating Income,1869 Lane Dr,-4469.6
Net Income,1869 Lane Dr,-4469.6
Sale of property,1908 Heritage Rd,90066.87
Total for Income,1908 Heritage Rd,90066.87
Gross Profit,1908 Heritage Rd,90066.87
Admin Services,1908 Heritage Rd,300
Cleaning services,1908 Heritage Rd,150
Dumpsters,1908 Heritage Rd,2989.68
Earnest money,1908 Heritage Rd,2500
Labor,1908 Heritage Rd,37499.33
Materials,1908 Heritage Rd,27336.76
Property Purchase,1908 Heritage Rd,120000
Third Party Vendors,1908 Heritage Rd,12251.8
Total for Expenses,1908 Heritage Rd,203027.57
Net Operating Income,1908 Heritage Rd,-112960.70000000001
Mortgage,1908 Heritage Rd,120000
Total for Other Income,1908 Heritage Rd,120000
Net Other Income,1908 Heritage Rd,120000
Net Income,1908 Heritage Rd,7039.299999999988
Sale of property,1909 Thornhill Rd.,101349.1
Total for Income,1909 Thornhill Rd.,101349.1
Gross Profit,1909 Thornhill Rd.,101349.1
Admin Services,1909 Thornhill Rd.,500
Closing Costs,1909 Thornhill Rd.,946.45
Dumpsters,1909 Thornhill Rd.,662
Interest Payment,1909 Thornhill Rd.,1733.34
Labor,1909 Thornhill Rd.,13000
Materials,1909 Thornhill Rd.,10388.64
Permits,1909 Thornhill Rd.,988
Professional Fees,1909 Thornhill Rd.,200
Property Insurance,1909 Thornhill Rd.,867.5
Third Party Vendors,1909 Thornhill Rd.,11393.07
Total for Expenses,1909 Thornhill Rd.,40679
Net Operating Income,1909 Thornhill Rd.,60670.100000000006
Net Income,1909 Thornhill Rd.,60670.100000000006
Sale of property,1929 11th St NW,100035.64
Total for Income,1929 11th St NW,100035.64
Gross Profit,1929 11th St NW,100035.64
Cleaning services,1929 11th St NW,170
Dumpsters,1929 11th St NW,1484.58
Interest Payment,1929 11th St NW,8646.67
Labor,1929 11th St NW,22250
Materials,1929 11th St NW,24752.47
Property Purchase,1929 11th St NW,2034.33
Third Party Vendors,1929 11th St NW,20795.81
Utilities,1929 11th St NW,1598.66
Total for Expenses,1929 11th St NW,81732.52
Net Operating Income,1929 11th St NW,18303.119999999995
Net Income,1929 11th St NW,18303.119999999995
Dumpsters,193 Rena Dr,2873.85
Interest Payment,193 Rena Dr,13677.42
Labor,193 Rena Dr,46900
Materials,193 Rena Dr,67626.76
Permits,193 Rena Dr,1655
Property Purchase,193 Rena Dr,1547.62
Survey,193 Rena Dr,900
Third Party Vendors,193 Rena Dr,57111.19
Utilities,193 Rena Dr,3203.48
Total for Expenses,193 Rena Dr,195495.32
Net Operating Income,193 Rena Dr,-195495.32
Net Income,193 Rena Dr,-195495.32
Dumpsters,193 Woodland Dr.,1479.46
Interest Payment,193 Woodland Dr.,14000
Labor,193 Woodland Dr.,36222
Materials,193 Woodland Dr.,27071.14
Third Party Vendors,193 Woodland Dr.,14788.64
Utilities,193 Woodland Dr.,202.08
Total for Expenses,193 Woodland Dr.,93763.32
Net Operating Income,193 Woodland Dr.,-93763.32
Net Income,193 Woodland Dr.,-93763.32
Sale of property,1939 Westridge,106907.81
Total for Income,1939 Westridge,106907.81
Gross Profit,1939 Westridge,106907.81
Dumpsters,1939 Westridge,2386.78
Interest Payment,1939 Westridge,7020
Labor,1939 Westridge,25170
Materials,1939 Westridge,24162.73
Property Insurance,1939 Westridge,400
Third Party Vendors,1939 Westridge,16452.9
Utilities,1939 Westridge,1480.98
Total for Expenses,1939 Westridge,77073.39
Net Operating Income,1939 Westridge,29834.42
Net Income,1939 Westridge,29834.42
Sale of property,1946 Seven Bark Ln.,187760.16
Total for Income,1946 Seven Bark Ln.,187760.16
Gross Profit,1946 Seven Bark Ln.,187760.16
Closing Costs,1946 Seven Bark Ln.,1054.2
Dumpsters,1946 Seven Bark Ln.,1833.77
Interest Payment,1946 Seven Bark Ln.,4216
Labor,1946 Seven Bark Ln.,27200
Materials,1946 Seven Bark Ln.,32282.02
Property Insurance,1946 Seven Bark Ln.,1270.5
Third Party Vendors,1946 Seven Bark Ln.,35155.5
Utilities,1946 Seven Bark Ln.,50
Total for Expenses,1946 Seven Bark Ln.,103061.99
Net Operating Income,1946 Seven Bark Ln.,84698.17
Net Income,1946 Seven Bark Ln.,84698.17
Sale of property,1951 Croydon Cir,183889.63
Total for Income,1951 Croydon Cir,183889.63
Gross Profit,1951 Croydon Cir,183889.63
Property Purchase,1951 Croydon Cir,151357.03
Total for Expenses,1951 Croydon Cir,151357.03
Net Operating Income,1951 Croydon Cir,32532.600000000006
Net Income,1951 Croydon Cir,32532.600000000006
Sale of property,1973 Chandaway Dr.,123715.92
Total for Income,1973 Chandaway Dr.,123715.92
Gross Profit,1973 Chandaway Dr.,123715.92
Closing Costs,1973 Chandaway Dr.,580
Dumpsters,1973 Chandaway Dr.,1499.51
Earnest money,1973 Chandaway Dr.,2500
Interest Payment,1973 Chandaway Dr.,10612.9
Labor,1973 Chandaway Dr.,24850
Materials,1973 Chandaway Dr.,26905.26
Third Party Vendors,1973 Chandaway Dr.,21193.4
Utilities,1973 Chandaway Dr.,50
Total for Expenses,1973 Chandaway Dr.,88191.07
Net Operating Income,1973 Chandaway Dr.,35524.84999999999
Net Income,1973 Chandaway Dr.,35524.84999999999
Sale of property,200 Saint John Dr.,86052.33
Total for Income,200 Saint John Dr.,86052.33
Gross Profit,200 Saint John Dr.,86052.33
Closing Costs,200 Saint John Dr.,1200.14
Dumpsters,200 Saint John Dr.,932.15
Interest Payment,200 Saint John Dr.,2880
Labor,200 Saint John Dr.,15625
Materials,200 Saint John Dr.,6014.32
Property Insurance,200 Saint John Dr.,1634
Third Party Vendors,200 Saint John Dr.,8984.98
Total for Expenses,200 Saint John Dr.,37270.59
Net Operating Income,200 Saint John Dr.,48781.740000000005
Net Income,200 Saint John Dr.,48781.740000000005
Sale of property,20001 Rabbit Ridge Rd,165328.57
Total for Income,20001 Rabbit Ridge Rd,165328.57
Gross Profit,20001 Rabbit Ridge Rd,165328.57
Admin Services,20001 Rabbit Ridge Rd,300
Dumpsters,20001 Rabbit Ridge Rd,1896.49
Materials,20001 Rabbit Ridge Rd,2333.67
Total for Expenses,20001 Rabbit Ridge Rd,4530.16
Net Operating Income,20001 Rabbit Ridge Rd,160798.41
Net Income,20001 Rabbit Ridge Rd,160798.41
Labor,20001 Rabbit Ridge,28195.32
Materials,20001 Rabbit Ridge,23861.7
Property Purchase,20001 Rabbit Ridge,45986.06
Third Party Vendors,20001 Rabbit Ridge,11589.6
Utilities,20001 Rabbit Ridge,115
Total for Expenses,20001 Rabbit Ridge,109747.68000000001
Net Operating Income,20001 Rabbit Ridge,-109747.68000000001
Net Income,20001 Rabbit Ridge,-109747.68000000001
Sale of property,Total for 20001 Rabbit Ridge Rd,165328.57
Total for Income,Total for 20001 Rabbit Ridge Rd,165328.57
Gross Profit,Total for 20001 Rabbit Ridge Rd,165328.57
Admin Services,Total for 20001 Rabbit Ridge Rd,300
Dumpsters,Total for 20001 Rabbit Ridge Rd,1896.49
Labor,Total for 20001 Rabbit Ridge Rd,28195.32
Materials,Total for 20001 Rabbit Ridge Rd,26195.370000000003
Property Purchase,Total for 20001 Rabbit Ridge Rd,45986.06
Third Party Vendors,Total for 20001 Rabbit Ridge Rd,11589.6
Utilities,Total for 20001 Rabbit Ridge Rd,115
Total for Expenses,Total for 20001 Rabbit Ridge Rd,114277.84000000001
Net Operating Income,Total for 20001 Rabbit Ridge Rd,51050.729999999996
Net Income,Total for 20001 Rabbit Ridge Rd,51050.729999999996
Cleaning services,201 Forest Dr,500
Dumpsters,201 Forest Dr,2818.21
Interest Payment,201 Forest Dr,6805.93
Labor,201 Forest Dr,27985
Materials,201 Forest Dr,32880.39
Property Insurance,201 Forest Dr,1433.36
Property Purchase,201 Forest Dr,105466.99
Third Party Vendors,201 Forest Dr,28189.4
Utilities,201 Forest Dr,223.56
Total for Expenses,201 Forest Dr,206302.84
Net Operating Income,201 Forest Dr,-206302.84
Mortgage,201 Forest Dr,160000
Total for Other Income,201 Forest Dr,160000
Net Other Income,201 Forest Dr,160000
Net Income,201 Forest Dr,-46302.84
Tax payments,2021 tax payments,321914.29
Total for Expenses,2021 tax payments,321914.29
Net Operating Income,2021 tax payments,-321914.29
Net Income,2021 tax payments,-321914.29
Professional Fees,2022 taxes,300
Tax payments,2022 taxes,759455.28
Total for Expenses,2022 taxes,759755.28
Net Operating Income,2022 taxes,-759755.28
Net Income,2022 taxes,-759755.28
Cleaning services,2038 22nd Ct S,433.33
Dumpsters,2038 22nd Ct S,5542.43
Earnest money,2038 22nd Ct S,3000
Interest Payment,2038 22nd Ct S,26871.45
Labor,2038 22nd Ct S,43043
Materials,2038 22nd Ct S,53638.85
Professional Fees,2038 22nd Ct S,522.11
Property Insurance,2038 22nd Ct S,1663.62
Property Purchase,2038 22nd Ct S,43551.86
Staging and Interiors,2038 22nd Ct S,2800
Third Party Vendors,2038 22nd Ct S,59818.16
Utilities,2038 22nd Ct S,1921.23
Total for Expenses,2038 22nd Ct S,242806.03999999998
Net Operating Income,2038 22nd Ct S,-242806.03999999998
Net Income,2038 22nd Ct S,-242806.03999999998
Sale of property,204 Lane Park Cir,156968.35
Total for Income,204 Lane Park Cir,156968.35
Gross Profit,204 Lane Park Cir,156968.35
Interest Payment,204 Lane Park Cir,7288.92
Labor,204 Lane Park Cir,20680.11
Materials,204 Lane Park Cir,14466.69
Property Insurance,204 Lane Park Cir,1431.5
Property Purchase,204 Lane Park Cir,5000
Third Party Vendors,204 Lane Park Cir,7412.31
Total for Expenses,204 Lane Park Cir,56279.53
Net Operating Income,204 Lane Park Cir,100688.82
Net Income,204 Lane Park Cir,100688.82
Sale of property,205 Mashburn Dr,73740.78
Total for Income,205 Mashburn Dr,73740.78
Gross Profit,205 Mashburn Dr,73740.78
Business License,205 Mashburn Dr,324.99
Cleaning services,205 Mashburn Dr,350
Dumpsters,205 Mashburn Dr,1012.75
Labor,205 Mashburn Dr,22774.32
Materials,205 Mashburn Dr,21260.95
Permits,205 Mashburn Dr,1195.78
Referal Fee,205 Mashburn Dr,5000
Third Party Vendors,205 Mashburn Dr,22720.89
Utilities,205 Mashburn Dr,1979.2
Total for Expenses,205 Mashburn Dr,76618.87999999999
Net Operating Income,205 Mashburn Dr,-2878.0999999999913
Net Income,205 Mashburn Dr,-2878.0999999999913
Rental Income,2050 Montreat Pkwy Unit A,-1200
Total for Rental Income,2050 Montreat Pkwy Unit A,-1200
Total for Income,2050 Montreat Pkwy Unit A,-1200
Gross Profit,2050 Montreat Pkwy Unit A,-1200
Cleaning services,2050 Montreat Pkwy Unit A,315
Labor,2050 Montreat Pkwy Unit A,345
Materials,2050 Montreat Pkwy Unit A,498.28
Property Purchase,2050 Montreat Pkwy Unit A,96443.39
Third Party Vendors,2050 Montreat Pkwy Unit A,1588
Utilities,2050 Montreat Pkwy Unit A,78.35
Total for Expenses,2050 Montreat Pkwy Unit A,99268.02
Net Operating Income,2050 Montreat Pkwy Unit A,-100468.02
Net Income,2050 Montreat Pkwy Unit A,-100468.02
Sale of property,2056 Self Ln.,159581.63
Total for Income,2056 Self Ln.,159581.63
Gross Profit,2056 Self Ln.,159581.63
Dumpsters,2056 Self Ln.,932.15
Earnest money,2056 Self Ln.,1000
Labor,2056 Self Ln.,19535.25
Materials,2056 Self Ln.,13403.52
Permits,2056 Self Ln.,174
Property Insurance,2056 Self Ln.,716
Property Purchase,2056 Self Ln.,74318.32
Third Party Vendors,2056 Self Ln.,9200
Total for Expenses,2056 Self Ln.,119279.24
Net Operating Income,2056 Self Ln.,40302.39
Net Income,2056 Self Ln.,40302.39
Sale of property,206 Annetta Cir,243807.12
Total for Income,206 Annetta Cir,243807.12
Gross Profit,206 Annetta Cir,243807.12
Cleaning services,206 Annetta Cir,370
Dumpsters,206 Annetta Cir,2481.12
Labor,206 Annetta Cir,29507.33
Materials,206 Annetta Cir,21284.46
Property Purchase,206 Annetta Cir,120985.09
Third Party Vendors,206 Annetta Cir,7093.5
Utilities,206 Annetta Cir,1224.88
Total for Expenses,206 Annetta Cir,182946.38
Net Operating Income,206 Annetta Cir,60860.73999999999
Net Income,206 Annetta Cir,60860.73999999999
Sale of property,2073 Russet Woods Trl,100896.5
Total for Income,2073 Russet Woods Trl,100896.5
Gross Profit,2073 Russet Woods Trl,100896.5
Closing Costs,2073 Russet Woods Trl,229.22
Dumpsters,2073 Russet Woods Trl,566.07
Earnest money,2073 Russet Woods Trl,1000
Labor,2073 Russet Woods Trl,23400
Materials,2073 Russet Woods Trl,17822.82
Property Purchase,2073 Russet Woods Trl,198000
Third Party Vendors,2073 Russet Woods Trl,7342
Utilities,2073 Russet Woods Trl,282.13
Total for Expenses,2073 Russet Woods Trl,248642.24
Net Operating Income,2073 Russet Woods Trl,-147745.74
Mortgage,2073 Russet Woods Trl,198000
Total for Other Income,2073 Russet Woods Trl,198000
Net Other Income,2073 Russet Woods Trl,198000
Net Income,2073 Russet Woods Trl,50254.26000000001
Labor,208 Snake Hill Rd,14500
Materials,208 Snake Hill Rd,33351.1
Permits,208 Snake Hill Rd,2393
Property Purchase,208 Snake Hill Rd,44934.36
Utilities,208 Snake Hill Rd,451.64
Total for Expenses,208 Snake Hill Rd,95630.09999999999
Net Operating Income,208 Snake Hill Rd,-95630.09999999999
Net Income,208 Snake Hill Rd,-95630.09999999999
Sale of property,2104 Carlisle Cir.,96006.5
Total for Income,2104 Carlisle Cir.,96006.5
Gross Profit,2104 Carlisle Cir.,96006.5
Dumpsters,2104 Carlisle Cir.,1787.05
Labor,2104 Carlisle Cir.,1422
Labor and Materials,2104 Carlisle Cir.,52899.4
Materials,2104 Carlisle Cir.,118.97
Third Party Vendors,2104 Carlisle Cir.,8217.2
Total for Expenses,2104 Carlisle Cir.,64444.62000000001
Net Operating Income,2104 Carlisle Cir.,31561.87999999999
Net Income,2104 Carlisle Cir.,31561.87999999999
Sale of property,2116 Lakeview Trace,373060.45
Total for Income,2116 Lakeview Trace,373060.45
Gross Profit,2116 Lakeview Trace,373060.45
Cleaning services,2116 Lakeview Trace,850
Dumpsters,2116 Lakeview Trace,1918.89
Earnest money,2116 Lakeview Trace,10015
Interest Payment,2116 Lakeview Trace,31854.12
Labor,2116 Lakeview Trace,64740
Labor and Materials,2116 Lakeview Trace,2100
Legal Fees,2116 Lakeview Trace,400
Materials,2116 Lakeview Trace,38856.18
Photography,2116 Lakeview Trace,188
Property Purchase,2116 Lakeview Trace,489913.73
Property taxes,2116 Lakeview Trace,5404.17
Third Party Vendors,2116 Lakeview Trace,43236.12
Utilities,2116 Lakeview Trace,1377.43
Total for Expenses,2116 Lakeview Trace,690853.64
Net Operating Income,2116 Lakeview Trace,-317793.19
Mortgage,2116 Lakeview Trace,396656
Total for Other Income,2116 Lakeview Trace,396656
Net Other Income,2116 Lakeview Trace,396656
Net Income,2116 Lakeview Trace,78862.81
Sale of property,21164 Elizabeth Dr,95712.3
Total for Income,21164 Elizabeth Dr,95712.3
Gross Profit,21164 Elizabeth Dr,95712.3
Dumpsters,21164 Elizabeth Dr,1545.13
Interest Payment,21164 Elizabeth Dr,7000
Labor,21164 Elizabeth Dr,25190
Materials,21164 Elizabeth Dr,28159.09
Third Party Vendors,21164 Elizabeth Dr,18009
Utilities,21164 Elizabeth Dr,150
Total for Expenses,21164 Elizabeth Dr,80053.22
Net Operating Income,21164 Elizabeth Dr,15659.080000000002
Net Income,21164 Elizabeth Dr,15659.080000000002
Sale of property,212 Dexter Ct.,141145.21
Total for Income,212 Dexter Ct.,141145.21
Gross Profit,212 Dexter Ct.,141145.21
Admin Services,212 Dexter Ct.,300
Dumpsters,212 Dexter Ct.,1007.86
Labor,212 Dexter Ct.,6450
Materials,212 Dexter Ct.,2111.45
Property Purchase,212 Dexter Ct.,105961.55
Third Party Vendors,212 Dexter Ct.,5770
Total for Expenses,212 Dexter Ct.,121600.86
Net Operating Income,212 Dexter Ct.,19544.34999999999
Net Income,212 Dexter Ct.,19544.34999999999
Sale of property,2123 28th Ave N,98214.2
Total for Income,2123 28th Ave N,98214.2
Gross Profit,2123 28th Ave N,98214.2
Dumpsters,2123 28th Ave N,2879.89
Interest Payment,2123 28th Ave N,9000
Labor,2123 28th Ave N,22000
Materials,2123 28th Ave N,24872.71
Property Insurance,2123 28th Ave N,727.16
Property Purchase,2123 28th Ave N,3590.5
Third Party Vendors,2123 28th Ave N,18565.37
Utilities,2123 28th Ave N,2596.27
Total for Expenses,2123 28th Ave N,84231.90000000001
Net Operating Income,2123 28th Ave N,13982.299999999988
Net Income,2123 28th Ave N,13982.299999999988
Sale of property,214 Stone Ridge Trail,287518.79
Total for Income,214 Stone Ridge Trail,287518.79
Gross Profit,214 Stone Ridge Trail,287518.79
Admin Services,214 Stone Ridge Trail,300
Business License,214 Stone Ridge Trail,64
Dumpsters,214 Stone Ridge Trail,4307.91
Earnest money,214 Stone Ridge Trail,7500
Labor,214 Stone Ridge Trail,35541
Materials,214 Stone Ridge Trail,45854.94
Permits,214 Stone Ridge Trail,100
Photography,214 Stone Ridge Trail,115
Property Purchase,214 Stone Ridge Trail,118065.55
Third Party Vendors,214 Stone Ridge Trail,27532.56
Utilities,214 Stone Ridge Trail,375
Total for Expenses,214 Stone Ridge Trail,239755.96000000002
Net Operating Income,214 Stone Ridge Trail,47762.82999999996
Net Income,214 Stone Ridge Trail,47762.82999999996
Sale of property,2146 Rock Mtn. Rd.,95304
Total for Income,2146 Rock Mtn. Rd.,95304
Gross Profit,2146 Rock Mtn. Rd.,95304
Interest Payment,2146 Rock Mtn. Rd.,3333.35
Labor,2146 Rock Mtn. Rd.,24700
Reimbursment,2146 Rock Mtn. Rd.,215.06
Total for Expenses,2146 Rock Mtn. Rd.,28248.41
Net Operating Income,2146 Rock Mtn. Rd.,67055.59
Net Income,2146 Rock Mtn. Rd.,67055.59
Labor and Materials,2146 Rock Mtn. Lake Dr.,20000
Materials,2146 Rock Mtn. Lake Dr.,27
Total for Expenses,2146 Rock Mtn. Lake Dr.,20027
Net Operating Income,2146 Rock Mtn. Lake Dr.,-20027
Net Income,2146 Rock Mtn. Lake Dr.,-20027
Interest Payment,2146 Rock Mtn. Rd,666.67
Labor and Materials,2146 Rock Mtn. Rd,15000
Property Purchase,2146 Rock Mtn. Rd,70000
Third Party Vendors,2146 Rock Mtn. Rd,2209
Total for Expenses,2146 Rock Mtn. Rd,87875.67
Net Operating Income,2146 Rock Mtn. Rd,-87875.67
Net Income,2146 Rock Mtn. Rd,-87875.67
Sale of property,Total for 2146 Rock Mtn. Rd.,95304
Total for Income,Total for 2146 Rock Mtn. Rd.,95304
Gross Profit,Total for 2146 Rock Mtn. Rd.,95304
Interest Payment,Total for 2146 Rock Mtn. Rd.,4000.02
Labor,Total for 2146 Rock Mtn. Rd.,24700
Labor and Materials,Total for 2146 Rock Mtn. Rd.,35000
Materials,Total for 2146 Rock Mtn. Rd.,27
Property Purchase,Total for 2146 Rock Mtn. Rd.,70000
Reimbursment,Total for 2146 Rock Mtn. Rd.,215.06
Third Party Vendors,Total for 2146 Rock Mtn. Rd.,2209
Total for Expenses,Total for 2146 Rock Mtn. Rd.,136151.08
Net Operating Income,Total for 2146 Rock Mtn. Rd.,-40847.08
Net Income,Total for 2146 Rock Mtn. Rd.,-40847.08
Earnest money,215 Observatory Dr,-1311.34
Materials,215 Observatory Dr,10810.21
Third Party Vendors,215 Observatory Dr,118
Total for Expenses,215 Observatory Dr,9616.869999999999
Net Operating Income,215 Observatory Dr,-9616.869999999999
Net Income,215 Observatory Dr,-9616.869999999999
Earnest money,215 Oberservatory Dr,2500
Total for Expenses,215 Oberservatory Dr,2500
Net Operating Income,215 Oberservatory Dr,-2500
Net Income,215 Oberservatory Dr,-2500
Sale of property,245 Observatory Dr,90930.27
Total for Income,245 Observatory Dr,90930.27
Gross Profit,245 Observatory Dr,90930.27
Admin Services,245 Observatory Dr,300
Dumpsters,245 Observatory Dr,1499.9
Interest Payment,245 Observatory Dr,3200.01
Labor,245 Observatory Dr,29997.79
Materials,245 Observatory Dr,3994.28
Photography,245 Observatory Dr,100
Third Party Vendors,245 Observatory Dr,15514
Total for Expenses,245 Observatory Dr,54605.979999999996
Net Operating Income,245 Observatory Dr,36324.29000000001
Net Income,245 Observatory Dr,36324.29000000001
Sale of property,Total for 215 Observatory Dr,90930.27
Total for Income,Total for 215 Observatory Dr,90930.27
Gross Profit,Total for 215 Observatory Dr,90930.27
Admin Services,Total for 215 Observatory Dr,300
Dumpsters,Total for 215 Observatory Dr,1499.9
Earnest money,Total for 215 Observatory Dr,1188.66
Interest Payment,Total for 215 Observatory Dr,3200.01
Labor,Total for 215 Observatory Dr,29997.79
Materials,Total for 215 Observatory Dr,14804.49
Photography,Total for 215 Observatory Dr,100
Third Party Vendors,Total for 215 Observatory Dr,15632
Total for Expenses,Total for 215 Observatory Dr,66722.84999999999
Net Operating Income,Total for 215 Observatory Dr,24207.42000000001
Net Income,Total for 215 Observatory Dr,24207.42000000001
Sale of property,215 Sunrise Dr.,182479.22
Total for Income,215 Sunrise Dr.,182479.22
Gross Profit,215 Sunrise Dr.,182479.22
Property Purchase,215 Sunrise Dr.,141604.31
Reimbursment,215 Sunrise Dr.,-84.27
Total for Expenses,215 Sunrise Dr.,141520.04
Net Operating Income,215 Sunrise Dr.,40959.17999999999
Net Income,215 Sunrise Dr.,40959.17999999999
Cleaning services,2157 Parsons Dr,200
Interest Payment,2157 Parsons Dr,826.66
Labor,2157 Parsons Dr,11675
Materials,2157 Parsons Dr,8856.83
Property Insurance,2157 Parsons Dr,542.34
Property Purchase,2157 Parsons Dr,35326.68
Third Party Vendors,2157 Parsons Dr,18839
Utilities,2157 Parsons Dr,841.13
Total for Expenses,2157 Parsons Dr,77107.64
Net Operating Income,2157 Parsons Dr,-77107.64
Net Income,2157 Parsons Dr,-77107.64
Sale of property,216 Chestnut St,121334.08
Total for Income,216 Chestnut St,121334.08
Gross Profit,216 Chestnut St,121334.08
Admin Services,216 Chestnut St,300
Cleaning services,216 Chestnut St,300
Dumpsters,216 Chestnut St,6528.89
Interest Payment,216 Chestnut St,9600.03
Labor,216 Chestnut St,69510.61
Materials,216 Chestnut St,53926.06
Third Party Vendors,216 Chestnut St,58674.01
Total for Expenses,216 Chestnut St,198839.6
Net Operating Income,216 Chestnut St,-77505.52
Mortgage,216 Chestnut St,38084.3
Total for Other Income,216 Chestnut St,38084.3
Net Other Income,216 Chestnut St,38084.3
Net Income,216 Chestnut St,-39421.22
Sale of property,216 Handley Rd.,96352.56
Total for Income,216 Handley Rd.,96352.56
Gross Profit,216 Handley Rd.,96352.56
Admin Services,216 Handley Rd.,250
Dumpsters,216 Handley Rd.,1372.42
Labor,216 Handley Rd.,23119.2
Materials,216 Handley Rd.,13876.86
Photography,216 Handley Rd.,100
Property Purchase,216 Handley Rd.,131157.87
Third Party Vendors,216 Handley Rd.,20585.36
Total for Expenses,216 Handley Rd.,190461.71000000002
Net Operating Income,216 Handley Rd.,-94109.15000000002
Mortgage,216 Handley Rd.,130000
Total for Other Income,216 Handley Rd.,130000
Net Other Income,216 Handley Rd.,130000
Net Income,216 Handley Rd.,35890.84999999998
Earnest money,2164 Elizabeth Dr,1000
Total for Expenses,2164 Elizabeth Dr,1000
Net Operating Income,2164 Elizabeth Dr,-1000
Net Income,2164 Elizabeth Dr,-1000
Sale of property,217 Kings Crest,237088.49
Total for Income,217 Kings Crest,237088.49
Gross Profit,217 Kings Crest,237088.49
Admin Services,217 Kings Crest,330
Dumpsters,217 Kings Crest,1926.57
Earnest money,217 Kings Crest,1000
Labor,217 Kings Crest,48020
Labor and Materials,217 Kings Crest,760
Materials,217 Kings Crest,41104.8
Mortgage Payment,217 Kings Crest,21337.68
Photography,217 Kings Crest,155
Property Insurance,217 Kings Crest,4738
Third Party Vendors,217 Kings Crest,14214.12
Total for Expenses,217 Kings Crest,133586.16999999998
Net Operating Income,217 Kings Crest,103502.32
Net Income,217 Kings Crest,103502.32
Sale of property,2173 Chapel Hill Rd,233269.72
Total for Income,2173 Chapel Hill Rd,233269.72
Gross Profit,2173 Chapel Hill Rd,233269.72
Cleaning services,2173 Chapel Hill Rd,150
Dumpsters,2173 Chapel Hill Rd,1529.28
Labor,2173 Chapel Hill Rd,14543.97
Materials,2173 Chapel Hill Rd,16907.36
Property Purchase,2173 Chapel Hill Rd,140562.1
Third Party Vendors,2173 Chapel Hill Rd,7507
Utilities,2173 Chapel Hill Rd,765.93
Total for Expenses,2173 Chapel Hill Rd,181965.64
Net Operating Income,2173 Chapel Hill Rd,51304.07999999999
Net Income,2173 Chapel Hill Rd,51304.07999999999
Sale of property,2200 Dogwood Trail,123919.02
Total for Income,2200 Dogwood Trail,123919.02
Gross Profit,2200 Dogwood Trail,123919.02
Admin Services,2200 Dogwood Trail,330
Dumpsters,2200 Dogwood Trail,1918.89
